Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Magnetometer,Clouds
40,2023-05-03 04:16:09.539564,-36.46849791418329,-128.85303725860368,31.8087,28.9824,"{'x': 36.45178985595703, 'y': 26.563417434692383, 'z': -29.701276779174805}",0.0
41,2023-05-03 04:16:40.245480,-35.18580499783528,-127.11620830118373,32.3599,28.6489,"{'x': 36.22138977050781, 'y': 27.05740737915039, 'z': -28.76979637145996}",0.0
42,2023-05-03 04:17:10.949686,-33.87567266971791,-125.43836824998247,32.0932,28.8295,"{'x': 36.10700988769531, 'y': 27.61444664001465, 'z': -27.8021240234375}",0.0
43,2023-05-03 04:17:41.608923,-32.54000441989172,-123.81575399847068,32.3955,29.0742,"{'x': 36.08021545410156, 'y': 28.040239334106445, 'z': -27.0933780670166}",0.0
44,2023-05-03 04:18:12.329592,-31.180760594933176,-122.24494210380642,32.6622,29.2609,"{'x': 36.0567741394043, 'y': 28.625520706176758, 'z': -26.12896156311035}",0.0
45,2023-05-03 04:18:43.015914,-29.79759293316356,-120.72024793137491,31.6843,28.9335,"{'x': 35.752952575683594, 'y': 29.16039276123047, 'z': -25.20699119567871}",0.0
46,2023-05-03 04:19:13.740477,-28.395362818033707,-119.24198501997333,31.7198,28.9059,"{'x': 35.6280632019043, 'y': 29.37032699584961, 'z': -24.266023635864258}",0.0
47,2023-05-03 04:19:44.479715,-26.97257593173124,-117.80381241966133,32.0043,29.1446,"{'x': 35.58477020263672, 'y': 29.61307144165039, 'z': -23.52249526977539}",0.0
48,2023-05-03 04:20:15.181917,-25.531904512172435,-116.40406059424005,31.7732,28.8876,"{'x': 35.44211959838867, 'y': 30.212936401367188, 'z': -22.5726375579834}",0.0
49,2023-05-03 04:20:45.877201,-24.07708023554505,-115.04203334271864,32.0399,29.0773,"{'x': 35.43540954589844, 'y': 30.656408309936523, 'z': -21.348514556884766}",0.0
50,2023-05-03 04:21:16.579133,-22.60808268644738,-113.7135908994745,32.5911,29.2517,"{'x': 35.46223449707031, 'y': 31.005184173583984, 'z': -20.350446701049805}",0.0
51,2023-05-03 04:21:47.278153,-21.126167090148645,-112.41604738065325,31.951,29.3741,"{'x': 35.56050491333008, 'y': 31.20816421508789, 'z': -19.423908233642578}",0.0
52,2023-05-03 04:22:17.973857,-19.630819663665026,-111.14540271384632,31.6487,29.1232,"{'x': 35.554649353027344, 'y': 31.50920867919922, 'z': -18.236101150512695}",0.0
53,2023-05-03 04:22:48.660780,-18.125907679973178,-109.9015349311576,31.7909,29.2303,"{'x': 35.470863342285156, 'y': 31.711200714111328, 'z': -17.17034339904785}",0.0
54,2023-05-03 04:23:19.380842,-16.610515041781024,-108.68041673376783,31.6487,29.2456,"{'x': 35.43159866333008, 'y': 32.0146484375, 'z': -16.065898895263672}",0.0
55,2023-05-03 04:23:50.083893,-15.08506316507404,-107.47934484981214,31.7198,29.1201,"{'x': 35.24965286254883, 'y': 32.28422927856445, 'z': -14.922017097473145}",0.0
56,2023-05-03 04:24:20.787221,-13.552512671047642,-106.29769733482033,32.2355,29.2853,"{'x': 35.290687561035156, 'y': 32.5044059753418, 'z': -13.806873321533203}",0.0
57,2023-05-03 04:24:51.467936,-12.012904687860724,-105.13264401745762,31.702,29.3741,"{'x': 35.155479431152344, 'y': 32.76133728027344, 'z': -12.712739944458008}",0.0
